StartTime: 2016-10-15 17:13:11.439
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
531.543	-0.0220	0.0352	1.0054	0.0610	0.1831	20.2026	1.0657	0.7690	-101.2390	51.7900	-325	-97	-451 
531.648	-0.0107	0.0234	1.0098	-0.7935	0.0610	22.0337	1.1316	0.7361	-100.1294	51.7900	-314	-88	-446 
531.732	-0.0132	0.0132	1.0098	0.0000	0.2441	35.0342	1.1426	0.6592	-97.6959	51.8000	-316	-70	-430 
531.837	-0.0112	0.0122	1.0151	0.3052	0.1221	20.6299	1.1755	0.6537	-95.7458	51.8000	-321	-59	-437 
531.942	-0.0249	0.0083	1.0083	1.5869	0.4883	37.3535	1.1646	0.6976	-93.4497	51.7900	-322	-50	-446 
532.046	-0.0342	0.0127	1.0049	-0.7935	0.2441	30.3345	1.1646	0.7086	-90.4230	51.8000	-320	-28	-454 
532.151	-0.0161	0.0195	1.0000	-0.3052	0.0610	21.6064	1.0327	0.7031	-88.9398	51.8000	-315	-23	-449 
532.235	0.0215	0.0273	1.0142	-1.5259	0.0000	18.4937	1.0162	0.7526	-88.0884	51.8100	-320	-26	-450 
532.341	-0.0278	0.0234	1.0063	-0.6104	0.0000	13.9771	0.9119	0.8130	-87.0831	51.7800	-318	-4	-446 
532.446	-0.0015	0.0083	1.0073	0.3052	0.1831	15.3809	0.9064	0.8130	-86.4075	51.7900	-305	1	-435 
532.551	0.0166	0.0200	1.0073	0.6104	0.1831	11.2915	0.8899	0.7855	-85.7648	51.7900	-302	2	-442 
532.635	0.0044	0.0337	1.0107	0.4272	0.2441	17.8223	0.9558	0.7910	-84.3091	51.8000	-306	4	-456 
532.739	-0.0112	0.0220	1.0059	0.3662	0.1831	19.2871	1.0217	0.7965	-82.5787	51.7900	-306	16	-452 
532.843	-0.0303	0.0049	1.0098	-0.1831	0.1831	25.8179	0.9833	0.7855	-80.6671	51.8000	-292	24	-452 
532.948	-0.0249	0.0283	1.0073	3.1738	0.4272	22.5830	1.1316	0.8459	-79.0741	51.7900	-287	35	-443 
533.032	-0.0518	0.0605	1.0093	0.3662	0.0000	4.8218	1.2579	0.8954	-77.1460	51.8100	-287	49	-445 
533.137	-0.0020	-0.0112	1.0146	-0.0610	0.6104	38.0859	1.3074	0.9064	-74.2950	51.8000	-276	60	-442 
533.242	-0.0098	0.0200	1.0068	-0.2441	0.4883	28.6255	1.2854	0.8679	-71.3892	51.8200	-271	67	-449 
533.347	-0.0220	0.0439	1.0103	-0.7935	0.4272	39.3677	1.2250	0.9064	-69.2633	51.8200	-256	78	-452 
533.431	-0.0054	0.0054	1.0093	-1.7090	0.1831	34.1187	1.1865	0.9613	-67.4890	51.8100	-254	80	-450 
533.540	-0.0620	0.0732	1.0029	-0.2441	0.0000	9.4604	1.2579	0.8899	-66.0718	51.7900	-244	86	-454 
533.641	-0.0166	0.0166	1.0068	-1.4648	-0.2441	0.4883	0.9174	0.8295	-65.4456	51.8100	-255	89	-439 
533.746	-0.0171	0.0181	1.0088	0.9155	0.1831	0.1221	0.9229	0.8459	-65.8740	51.8200	-249	91	-439 
533.851	-0.0146	0.0176	1.0068	0.0000	-0.0610	0.0610	0.8954	0.8405	-66.3080	51.8000	-243	95	-439 
533.945	-0.0107	0.0234	1.0088	-0.9155	-0.1831	10.6812	0.8514	0.8295	-66.3464	51.8100	-245	95	-445 
534.039	-0.0142	0.0156	1.0054	-0.5493	-0.1831	0.2441	0.8679	0.8405	-65.8795	51.8100	-254	102	-450 
534.152	-0.0171	0.0112	1.0088	-0.3662	-0.2441	0.2441	0.7471	0.7965	-66.1157	51.8100	-247	93	-445 
534.249	-0.0127	0.0103	1.0073	0.2441	0.0610	0.1221	0.7196	0.7910	-66.3080	51.8100	-251	105	-445 
534.355	-0.0254	0.0142	1.0093	0.3052	0.2441	19.4702	0.8130	0.8899	-65.9839	51.8300	-248	106	-444 
534.437	-0.0063	0.0259	1.0107	0.2441	0.0000	12.3901	0.8679	0.8350	-63.7152	51.8200	-249	105	-439 
534.555	-0.0073	0.0112	1.0059	-1.5259	-0.4883	7.9956	0.7855	0.8020	-63.4076	51.8100	-230	106	-444 
534.647	-0.0161	0.0112	1.0093	-8.6060	-2.6855	12.4512	0.6207	0.8075	-62.7539	51.8000	-231	111	-451 
534.731	-0.0068	-0.0034	1.0059	-0.8545	-0.3052	18.7988	0.3186	0.6866	-61.4136	51.8000	-222	114	-456 
534.837	-0.0151	-0.0122	1.0083	-0.3662	-0.1831	21.9116	0.2527	0.6262	-59.2273	51.8300	-208	124	-438 
534.942	-0.0068	0.0020	1.0078	-0.4883	-0.1831	13.3057	0.2856	0.6262	-57.8375	51.8200	-210	132	-444 
535.047	-0.0103	-0.0005	1.0088	-0.3662	-0.1831	30.3955	0.3571	0.6592	-56.2665	51.8200	-203	131	-435 
535.130	-0.0098	-0.0010	1.0107	0.1221	-0.0610	6.8359	0.3351	0.6262	-55.2393	51.8300	-201	133	-439 
535.234	-0.0156	-0.0024	1.0103	-0.4272	-0.2441	22.0947	0.3186	0.6482	-53.5419	51.8400	-196	128	-446 
535.339	-0.0122	0.0166	1.0059	-0.1831	-0.1831	20.2026	0.3296	0.6372	-51.5918	51.8200	-185	135	-449 
535.444	-0.0059	-0.0313	1.0044	-0.4883	-0.0610	43.5181	0.3955	0.6482	-48.8837	51.8200	-174	144	-442 
535.528	0.0078	-0.0332	1.0083	0.1831	0.0000	32.3486	0.3790	0.6152	-45.5383	51.8200	-164	154	-432 
535.633	-0.0132	0.0020	1.0088	0.1831	0.0000	27.8931	0.3735	0.6097	-43.6981	51.8100	-150	142	-436 
535.738	-0.0122	0.0073	1.0078	0.6104	0.1831	14.5874	0.3900	0.6317	-42.1930	51.8300	-140	150	-434 
535.843	-0.0283	0.0190	1.0068	1.9531	0.5493	25.6958	0.8075	0.8185	-40.4901	51.8300	-135	153	-443 
535.947	-0.0225	0.0513	1.0127	-0.8545	0.0610	23.8037	0.9668	0.8514	-37.5952	51.8100	-121	159	-441 
536.031	-0.0098	0.0273	0.9976	-4.1504	-0.9766	46.1426	1.0657	0.8514	-34.0356	51.8200	-109	155	-431 
536.137	-0.0195	0.0278	1.0063	-2.5024	-0.5493	24.5972	0.7471	0.7141	-31.4319	51.8400	-102	158	-438 
536.242	-0.0313	0.0132	1.0093	-1.7700	-0.3052	29.6021	0.6482	0.7361	-29.8059	51.8400	-92	166	-432 
536.347	-0.0132	0.0088	1.0054	0.6714	0.3662	40.1611	0.6152	0.7251	-27.1417	51.8300	-75	161	-423 
536.431	-0.0142	0.0103	1.0049	3.9673	1.2817	18.9819	0.6097	0.7141	-23.7305	51.8300	-67	159	-431 
536.535	-0.0210	0.0146	1.0078	2.3193	0.6104	11.6577	0.8569	0.7745	-21.6046	51.8300	-59	157	-435 
536.640	0.0137	-0.0464	1.0083	-1.0376	-0.2441	24.1699	1.0876	0.8734	-19.0887	51.8400	-37	153	-443 
536.744	-0.0049	-0.0059	1.0054	-0.0610	0.1831	14.8926	0.9613	0.7471	-15.6390	51.8300	-32	150	-436 
536.828	-0.0498	0.0518	1.0073	-0.7324	0.2441	45.8374	1.0492	0.8185	-10.8105	51.8300	-13	145	-431 
536.933	-0.0156	0.0181	1.0132	0.6104	0.1831	0.2441	1.1151	0.7251	-7.6685	51.8300	-7	145	-433 
537.038	-0.0161	0.0151	1.0063	-0.0610	0.0000	0.0610	1.0547	0.7635	-7.3828	51.8400	-10	150	-422 
537.143	-0.0562	0.0439	1.0078	-0.1831	0.0610	11.5967	1.0986	0.8185	-6.7896	51.8500	-4	142	-442 
537.227	0.0303	0.0303	1.0083	-0.7324	0.0000	17.8833	1.0876	0.8459	-3.2080	51.8400	8	136	-434 
537.333	-0.0171	0.0146	1.0073	0.3052	0.0000	0.1221	1.0602	0.8020	-2.0764	51.8400	13	135	-429 
537.438	-0.0137	0.0142	1.0093	-0.9155	0.0000	39.3677	1.0767	0.8020	0.3186	51.8500	12	138	-430 
537.542	-0.0059	-0.0122	1.0044	-0.4883	0.0610	32.5928	1.2909	0.7745	5.4987	51.8500	25	127	-425 
537.647	-0.0073	0.0249	1.0122	-0.8545	-0.0610	32.4707	1.1481	0.7196	10.1459	51.8400	48	124	-432 
537.731	0.0381	0.0059	1.0137	-0.5493	0.4883	67.7490	1.1041	0.8240	16.1609	51.8500	58	104	-440 
537.835	-0.0317	0.0259	1.0103	-0.6714	0.2441	60.9741	0.9943	0.6921	24.2578	51.8400	81	89	-431 
537.940	-0.0225	0.0059	1.0049	-0.9766	0.2441	48.6450	0.9119	0.5933	33.4094	51.8400	95	71	-429 
538.045	0.0010	-0.0132	1.0112	-0.7324	0.1831	44.5557	0.9613	0.5878	40.4681	51.8500	106	54	-434 
538.129	-0.0439	0.0342	1.0049	-0.6714	0.2441	48.8281	0.9064	0.7031	47.5763	51.8500	119	35	-421 
538.235	-0.0171	0.0132	1.0088	-0.4883	0.0610	9.5215	0.8844	0.5603	53.6572	51.8700	120	38	-418 
538.338	-0.0225	0.0132	1.0078	-0.1221	0.0610	15.1978	0.8899	0.6152	57.7661	51.8600	123	27	-417 
538.443	-0.0083	0.0220	1.0063	-2.0142	-0.3662	27.6489	0.7581	0.6482	63.7482	51.8500	134	14	-418 
538.527	-0.0186	0.0303	1.0093	-2.9297	-0.7324	32.0435	0.6372	0.6097	69.1919	51.8500	138	14	-428 
538.633	-0.0073	-0.0288	1.0073	-0.7935	-0.1831	19.6533	0.5713	0.5383	74.6136	51.8600	137	-5	-429 
538.738	-0.0137	0.0049	1.0068	2.8076	0.7935	5.4932	0.5988	0.5658	78.9532	51.8400	143	-3	-413 
538.843	-0.0122	0.0063	1.0078	-0.3662	-0.1831	9.8267	0.7141	0.6262	82.2437	51.8500	141	-7	-413 
538.927	-0.0195	0.0352	1.0103	0.3662	0.1221	12.3291	0.8679	0.7031	85.0232	51.8600	139	-13	-413 
539.031	-0.0142	0.0195	1.0059	-0.7324	-0.1831	13.6719	0.8295	0.7086	88.2697	51.8500	145	-27	-421 
539.135	-0.0146	0.0107	1.0107	-0.4272	-0.2441	7.0190	0.8624	0.7031	91.8951	51.8500	149	-27	-427 
539.240	-0.0322	-0.0010	1.0078	-0.4272	-0.1221	16.0522	0.8844	0.6976	95.6250	51.8600	149	-47	-425 
539.345	-0.0073	0.0396	1.0068	-0.1831	0.2441	26.9775	0.8954	0.6592	98.9648	51.8700	150	-40	-412 
539.430	-0.0254	-0.0010	1.0068	-0.0610	0.1831	17.8833	0.9009	0.7031	102.3651	51.8600	167	-49	-417 
539.534	-0.0132	0.0098	1.0029	-0.0610	0.2441	31.9214	0.8020	0.6976	105.6610	51.8600	162	-62	-416 
539.639	-0.0425	-0.0308	1.0098	-0.7324	0.0610	36.8042	0.8020	0.7031	111.0883	51.8700	157	-73	-419 
539.744	-0.0205	0.0239	1.0054	-0.4883	-0.1221	14.0991	0.7306	0.7306	115.1093	51.8600	156	-90	-424 
539.840	-0.0142	0.0049	1.0049	-0.8545	-0.3662	11.8408	0.6097	0.6921	117.8064	51.8800	156	-100	-422 
539.933	-0.0112	0.0020	1.0078	-1.0376	-0.3662	13.1226	0.5164	0.6537	119.7455	51.8700	153	-101	-421 
540.041	-0.0151	0.0122	1.0073	0.2441	-0.0610	7.6294	0.5548	0.6757	121.8658	51.8800	158	-116	-416 
540.143	-0.0137	0.0103	1.0059	-0.4883	-0.2441	4.0894	0.5658	0.6757	122.7942	51.8500	154	-108	-418 
540.243	-0.0112	0.0073	1.0088	0.1221	0.0000	4.9438	0.4669	0.6537	123.5522	51.8700	156	-112	-420 
540.331	-0.0103	-0.0029	1.0098	-0.8545	-0.3662	10.6201	0.4175	0.6317	125.1892	51.8700	157	-121	-419 
540.445	-0.0117	0.0024	1.0059	-0.1831	-0.1221	17.2119	0.4669	0.6372	126.9635	51.8600	163	-119	-421 
540.541	-0.0112	-0.0098	1.0078	-0.3662	-0.1221	21.0571	0.4724	0.6427	128.9520	51.8700	153	-129	-421 
540.624	-0.0112	-0.0146	1.0039	-0.0610	0.0000	17.4561	0.4175	0.6152	130.8307	51.8600	157	-141	-415 
540.729	-0.0166	0.0171	1.0044	0.2441	-0.1221	13.3667	0.4065	0.6207	132.5610	51.8600	149	-151	-409 
540.854	-0.0205	0.0220	1.0083	-0.4883	-0.1831	18.4937	0.3845	0.6207	134.3518	51.8800	145	-147	-419 
540.939	-0.0195	0.0049	1.0029	-0.3052	-0.2441	33.1421	0.3900	0.6427	137.2412	51.8700	140	-162	-426 
541.023	-0.0122	0.0015	1.0059	0.1221	0.0000	28.0762	0.4944	0.6537	140.0317	51.8700	142	-164	-424 
541.129	-0.0039	-0.0063	1.0132	0.3662	0.0000	19.7754	0.4340	0.6042	142.5421	51.8800	150	-168	-420 
541.234	-0.0068	0.0073	1.0063	-0.3052	-0.1831	16.5405	0.4010	0.5823	144.3274	51.8800	136	-192	-426 
541.339	-0.0083	0.0093	1.0059	0.7324	0.1831	6.3477	0.4614	0.6042	145.3876	51.8800	136	-190	-424 
541.461	-0.0127	0.0093	1.0088	0.0610	0.0000	11.9019	0.5438	0.6482	146.2939	51.8900	133	-195	-427 
541.527	-0.0049	0.0039	1.0078	-1.4038	-0.4272	10.9863	0.5493	0.6262	147.9364	51.8900	133	-197	-409 
541.631	-0.0015	-0.0093	1.0063	-0.0610	0.0000	14.7705	0.6262	0.6647	149.2603	51.8700	131	-205	-427 
541.736	-0.0122	0.0112	1.0088	-1.1597	-0.3662	12.5732	0.7251	0.6866	150.3149	51.8900	130	-214	-428 
541.841	-0.0093	0.0112	1.0068	0.9766	0.3052	7.9956	0.8405	0.7141	151.2103	51.8900	119	-219	-427 
541.925	-0.0112	0.0107	1.0098	0.0610	0.0000	9.2163	0.8130	0.6921	152.0233	51.8800	127	-217	-411 
542.030	-0.0073	0.0112	1.0078	-1.0986	-0.3052	13.8550	0.8185	0.6921	153.3417	51.9000	117	-219	-421 
542.135	-0.0103	0.0112	1.0088	-1.0986	-0.3052	15.1978	0.7471	0.6647	154.5502	51.9000	113	-223	-419 
542.239	-0.0142	0.0117	1.0068	-1.1597	-0.4272	1.0986	0.6537	0.6427	155.1105	51.8800	118	-236	-424 
542.323	-0.0107	0.0112	1.0078	0.9766	0.1831	0.1221	0.5603	0.6207	155.1270	51.8800	105	-227	-425 
542.429	-0.0146	0.0093	1.0083	0.0000	-0.0610	0.1221	0.6097	0.6537	155.1544	51.9000	112	-230	-424 
542.534	-0.0137	0.0112	1.0054	-0.1831	-0.1221	0.0610	0.5658	0.6537	155.0720	51.8900	114	-230	-418 
542.639	-0.0117	0.0093	1.0083	0.7324	0.1221	0.0000	0.5493	0.6482	155.0775	51.8900	110	-230	-414
